Test ID, First Layer Neurons, Second Layer Neurons, Learning Rate, Activation Function, Accuracy, Precision, Recall, F1-Score
0,10,5,0.3,logistic,84.90397489968613,88.70632038669346,86.96032129105518,86.0749706931703
1,10,5,0.3,logistic,84.87428264394863,88.3074188881428,86.97673692203229,85.88535134865872
2,10,5,0.3,logistic,84.58790666360251,88.59339539961265,86.79927882325993,86.15611354855176
3,10,5,0.3,logistic,86.10853425776372,89.52498693187916,88.12467270033733,87.56690985486543
4,10,5,0.3,logistic,87.3060427840374,89.19895418368581,87.91107992435387,87.45632500766433
5,10,5,0.3,logistic,84.06598327005386,89.11733308713362,86.70569715786179,85.71954543270344
6,10,5,0.3,logistic,84.08811220047451,88.71727603943096,86.85232066262792,85.65117441924714
7,10,5,0.3,logistic,87.12278049848896,89.92939104531355,88.57096954671255,87.90937923499372
8,10,5,0.3,logistic,86.23365820027382,89.48809140511533,87.609073928987,86.92462225244292
9,10,5,0.3,logistic,85.52105485191095,89.14575044679248,87.5546812305695,86.77832216515746
10,10,5,0.3,logistic,85.50556675848394,89.35036485979872,87.76550731013526,86.66795843610716
11,10,5,0.3,logistic,84.02216777203427,87.19323015924795,86.00658247568822,84.80170691900948
12,10,5,0.3,logistic,84.60999783134324,87.78621448168434,86.29176162523741,85.20178848103006
13,10,5,0.3,logistic,84.89631447033524,88.14271973693624,86.34389873703977,85.50618411297552
14,10,5,0.3,logistic,84.41153336980129,88.30902510329113,86.44026223178635,85.88602665693848
15,10,5,0.3,logistic,85.5579597795091,88.78082466638439,87.49036347015078,86.75135495969008
16,10,5,0.3,logistic,82.74347487864692,87.03678630546067,85.38724207256642,84.10958439278208
17,10,5,0.3,logistic,84.05873283551333,88.10313755848573,86.32165454919883,85.47606587190135
18,10,5,0.3,logistic,85.38107938686356,88.15686988663376,87.58622987440343,86.47913435424293
19,10,5,0.3,logistic,86.81415151034535,89.94717627647248,88.68142305633575,88.06901582616892
20,10,5,0.3,logistic,82.70706086588746,87.07583402374806,85.43973587384237,84.14398108218123
21,10,5,0.3,logistic,84.2790025473625,88.90573696806608,86.93358620517859,85.90354961079105
22,10,5,0.3,logistic,85.30057474798805,88.4862374008525,87.3606982358366,86.18935856068603
23,10,5,0.3,logistic,86.81393032893453,89.45433787611228,88.72221339936475,87.84687300986877
24,10,5,0.3,logistic,84.75641453064765,88.98865643064889,87.13898257299297,86.45249321489541
25,10,5,0.3,relu,59.702171138307435,43.937422871624825,52.09828976370212,45.340636372077135
26,10,5,0.3,relu,55.86709586649706,45.325545515146786,49.51983457594758,43.307926995820374
27,10,5,0.3,relu,51.24581778320121,35.46250725698806,41.6355068535931,35.74651158646747
28,10,5,0.3,relu,65.62544708315666,53.042993947131755,58.977990121079635,52.48343075640258
29,10,5,0.3,relu,51.99589249936073,36.11111622383945,42.6283186689412,34.52856325529843
30,10,5,0.3,relu,55.72181744225817,36.78383446505655,44.09137481982022,36.39816354638189
31,10,5,0.3,relu,55.139959281041726,47.7462943820572,49.19814907334833,42.87588856672366
32,10,5,0.3,relu,44.30966044877168,26.383347619534042,36.62019442811146,26.309795454306773
33,10,5,0.3,relu,58.960328686365834,47.618518584995535,52.40238359043242,45.246807739670764
34,10,5,0.3,relu,52.86362493674751,36.37769693932435,43.76954622034428,36.88843210038905
35,10,5,0.3,relu,49.797894137182105,32.54459687123829,41.20861021319361,33.46399153110665
36,10,5,0.3,relu,52.98051661503968,39.140646373945245,45.095388470003364,37.99421423367887
37,10,5,0.3,relu,64.08819851517144,47.608120069142466,53.0232160673876,46.824836851356885
38,10,5,0.3,relu,63.640500366298,53.00542373902254,56.271136864043,49.77746879978574
39,10,5,0.3,relu,43.69286101931182,22.62129312748893,33.79761000698742,23.59604512595301
40,10,5,0.3,relu,58.63060114949597,43.324466979442114,47.745819571051165,40.800153945752896
41,10,5,0.3,relu,48.05713709255417,39.82820932345349,45.82750185291554,36.93777411651641
42,10,5,0.3,relu,64.58841915711541,53.34510781872701,58.490572301156504,51.57166187761539
43,10,5,0.3,relu,50.22500083617361,38.23635610984008,45.11630469144007,37.41308670362085
44,10,5,0.3,relu,54.74333785406558,45.445409798621974,51.77190536117937,43.57445763471812
45,10,5,0.3,relu,50.100254520462514,32.09821247790879,40.66929166195409,32.55940222502598
46,10,5,0.3,relu,59.50414364491861,47.20901056165383,53.99113177392722,46.487444201425234
47,10,5,0.3,relu,50.07819032606455,36.266418735223596,41.92070169874043,35.47249994942893
48,10,5,0.3,relu,52.05508280276767,34.39143784371762,42.84119703277455,32.72223548607428
49,10,5,0.3,relu,48.04334831972259,34.59489815315086,41.60345065184695,34.33381547503298
50,10,5,0.3,tanh,81.72270108896778,82.28968359178447,81.81263656174778,80.30813211749876
51,10,5,0.3,tanh,83.5586794282946,84.2932587296066,82.70323516503346,81.76760468491678
