Test ID ,First Layer Neurons ,Second Layer Neurons ,Learning Rate ,Activation Function ,Accuracy           ,Precision          ,Recall             ,F1-Score
      0 ,                 10 ,                   3 ,        0.3   ,logistic            ,85.24194009544249  ,88.20042527531889  ,87.12425455053815  ,85.99849691873813
      1 ,                 10 ,                   3 ,        0.3   ,relu                ,61.795955293302725 ,47.94023367472879  ,52.07746754781708  ,46.26163646938355
      2 ,                 10 ,                   3 ,        0.3   ,tanh                ,80.09831243978202  ,73.4545649534672   ,73.91393218621178  ,72.06435166524625
      3 ,                 10 ,                   3 ,        0.03  ,logistic            ,87.12278589315751  ,90.4762193079339   ,89.21193349769891  ,88.6430960765588
      4 ,                 10 ,                   3 ,        0.03  ,relu                ,87.33592924784294  ,90.15669955257133  ,88.93022453947077  ,88.05078140107432
      5 ,                 10 ,                   3 ,        0.03  ,tanh                ,86.8433852192555   ,90.24830838573719  ,88.90096139073746  ,88.25377607367354
      6 ,                 10 ,                   3 ,        0.003 ,logistic            ,88.26862967866116  ,90.60108383679844  ,89.99872196654607  ,89.04418512468425
      7 ,                 10 ,                   3 ,        0.003 ,relu                ,88.32035915545384  ,90.97725373879781  ,89.82742837291718  ,89.057876866579
      8 ,                 10 ,                   3 ,        0.003 ,tanh                ,88.76097949918055  ,91.54481656724155  ,90.44027200294865  ,89.93249555461308
      9 ,                 10 ,                   4 ,        0.3   ,logistic            ,87.35786936486409  ,90.51141222335796  ,89.02643541477678  ,88.46704558676365
     10 ,                 10 ,                   4 ,        0.3   ,relu                ,57.11666833901392  ,44.07686434399998  ,49.660833799877615 ,43.49900879927616
     11 ,                 10 ,                   4 ,        0.3   ,tanh                ,82.79526909146229  ,84.14629224660587  ,82.53496347219992  ,81.25333801596571
     12 ,                 10 ,                   4 ,        0.03  ,logistic            ,85.99856933389869  ,89.2215681625919   ,87.72023540849943  ,87.00843986830614
     13 ,                 10 ,                   4 ,        0.03  ,relu                ,88.08510305435344  ,91.0621294093404   ,89.65457304803395  ,88.96543318732515
     14 ,                 10 ,                   4 ,        0.03  ,tanh                ,87.89413718210565  ,90.6904908313891   ,89.55357987920087  ,89.0358542606507
     15 ,                 10 ,                   4 ,        0.003 ,logistic            ,88.48184316403784  ,91.38011991195954  ,90.18742812924138  ,89.59623554525186
     16 ,                 10 ,                   4 ,        0.003 ,relu                ,88.52582050211417  ,91.13627155072018  ,90.22075432912379  ,89.50026904891605
     17 ,                 10 ,                   4 ,        0.003 ,tanh                ,88.467034798849    ,90.94627435277852  ,90.0232367737361   ,89.33322308596743
     18 ,                 10 ,                   5 ,        0.3   ,logistic            ,87.01949417429742  ,89.88528364042713  ,88.60082337431596  ,88.14642996870903
     19 ,                 10 ,                   5 ,        0.3   ,relu                ,60.364587885084916 ,52.15498797721418  ,56.19137207457874  ,49.893686124476545
     20 ,                 10 ,                   5 ,        0.3   ,tanh                ,83.80921323074831  ,85.6116976318516   ,83.42650533904138  ,81.70725369776527
     21 ,                 10 ,                   5 ,        0.03  ,logistic            ,87.16659599650859  ,90.7765731608989   ,89.08087020534265  ,88.5809929202989
     22 ,                 10 ,                   5 ,        0.03  ,relu                ,88.10005168092478  ,90.78371644100673  ,89.62390689859691  ,88.96183602907169
     23 ,                 10 ,                   5 ,        0.03  ,tanh                ,86.27028260510701  ,89.47694798516925  ,88.24356659521533  ,87.34844523786256
     24 ,                 10 ,                   5 ,        0.003 ,logistic            ,88.57732340282747  ,91.0855458895053   ,90.25375321199037  ,89.53544001336053
     25 ,                 10 ,                   5 ,        0.003 ,relu                ,89.10634618019705  ,91.77467249066795  ,90.70294895347895  ,90.13431499718214
     26 ,                 10 ,                   5 ,        0.003 ,tanh                ,88.0775882810536   ,90.94190512744888  ,89.69682026215287  ,89.16909728108772
     27 ,                 10 ,                   6 ,        0.3   ,logistic            ,86.44650484818864  ,90.36195478269997  ,88.51421882754804  ,87.94212198936799
     28 ,                 10 ,                   6 ,        0.3   ,relu                ,63.65470452860846  ,57.932737281052106 ,58.769105435396554 ,53.99334183188844
     29 ,                 10 ,                   6 ,        0.3   ,tanh                ,82.53046099600688  ,84.52406922164093  ,82.91330152976322  ,81.26281669455004
     30 ,                 10 ,                   6 ,        0.03  ,logistic            ,88.07773393710463  ,90.76844021400474  ,89.85802629383392  ,89.04428167664878
