name,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Experimento1,True,5,knn,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9194780442384399,0.9335887217154673,0.9281551702522289,0.9305570715986736
Experimento1,True,5,knn,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9170534644022006,0.9320055568134634,0.926284522178744,0.9288006325888546
Experimento1,True,5,knn,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9180089141503235,0.9327007258943943,0.9273480783792121,0.9296708738245767
Experimento1,True,5,knn,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.918522864223745,0.9333767050725233,0.927919721634565,0.9303378961644103
Experimento1,True,5,knn,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9196984703956772,0.9342061361585158,0.9292441299723736,0.9314591365920035
Experimento1,True,5,knn,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.918449280944628,0.9329087387546229,0.9276778594594178,0.929995467632773
Experimento1,True,5,knn,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9182289626807618,0.9331871079493788,0.927499611642306,0.9300531656638572
Experimento1,True,5,knn,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9204333860931918,0.9346880101894328,0.9301693283220528,0.9321594559979861
Experimento1,True,5,knn,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9182291784675041,0.9329392583438949,0.9273029048154798,0.9298138322877552
Experimento1,True,5,knn,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9197719457814231,0.9341595681562834,0.92949209197409,0.9315604212787425
Experimento2,True,5,knn,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.836029858411529,0.848143851834464,0.847124719030049,0.8371933498573714
Experimento2,True,5,knn,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8814955315960342,0.8951129390370125,0.8907040743542168,0.8907791492604116
Experimento2,True,5,knn,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8754741104461283,0.8845424717712781,0.8808245842812428,0.8776771355603973
Experimento2,True,5,knn,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8719452419562794,0.8864342105783658,0.8848139153456012,0.8809055047936626
