Experiment,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9307914734026657,0.9427190024947685,0.9396006745049258,0.9409465736005593
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9294687546191851,0.9407984274289293,0.9383830665666318,0.9393852861734858
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9297623864287402,0.9412480944572446,0.9391333021646548,0.9400210185705606
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9288801423329351,0.9406460206396877,0.9371685061964226,0.9387519799669336
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9300560721849811,0.9415900937971571,0.9389531034763466,0.940009093499663
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9283668935664263,0.9399029297501095,0.9382165574299336,0.9388590074907558
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9290273088911689,0.9412631400386937,0.9379596665764776,0.9393463637773243
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.930276929915703,0.9419865095809199,0.9385681378356189,0.940106589454944
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.930717728283492,0.9421137004599085,0.9395439887568079,0.9406272620998177
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9299097687737163,0.9421723253924768,0.9394946742296202,0.9406238086608582
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9282936339674228,0.9401927774117176,0.938128941495466,0.9389661483233007
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9299104161339432,0.9408540543652754,0.9395444116638336,0.9400650532570756
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9312316783569136,0.9424631884459883,0.9406760603336062,0.9414211036643356
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9301297094107834,0.9413193095823089,0.9389845566584112,0.9399739414982335
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9293215341142655,0.9402343514054824,0.9375992442628013,0.9387171095973802
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.928219888848249,0.9395459186310212,0.9373986420523155,0.9382911972095563
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9298356999744293,0.9414059560119835,0.9390145431015526,0.9400394896419906
